Rank,Ticker,Company,Industry,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales)
270,K,Kellogg,Food Consumer Products,"30,000","$15,315","$22,945",$960,6.3
271,XEL,Xcel Energy,Utilities: Gas and Electric,"11,982","$15,310","$37,082","$1,736",11.3
272,GWW,W.W. Grainger,Wholesalers: Diversified,"24,500","$15,228","$34,622","$1,547",10.2
273,DFS,Discover Financial Services,Commercial Banks,"20,200","$15,202","$25,635","$4,392",28.9
274,BAX,Baxter International,Medical Products and Equipment,"60,000","$15,113","$20,504","-$2,433",-16.1
275,SWN,Southwestern Energy,"Mining, Crude-Oil Production","1,118","$15,002","$5,506","$1,849",12.3
276,DCP,DCP Midstream,Pipelines,"1,910","$14,993","$8,701","$1,052",7.0
277,J,Jacobs Solutions,Engineering & Construction,"58,350","$14,923","$14,890",$644,4.3
278,LH,Laboratory Corp. of America,Health Care: Pharmacy and Other Services,"75,200","$14,877","$20,304","$1,279",8.6
279,CSX,CSX,Railroads,"22,542","$14,853","$61,330","$4,166",28.0
280,JBHT,J.B. Hunt Transport Services,"Trucking, Truck Leasing","37,151","$14,814","$18,208",$969,6.5
282,JXN,Jackson Financial,"Insurance: Life, Health (Stock)","3,435","$14,551","$3,078","$5,697",39.2
283,FIS,Fidelity National Information Services,Financial Data Services,"69,000","$14,528","$32,160","-$16,720",-115.1
284,BERY,Berry Global Group,"Packaging, Containers","46,000","$14,495","$7,151",$766,5.3
285,SRE,Sempra,Utilities: Gas and Electric,"15,785","$14,439","$47,563","$2,138",14.8
286,IQV,IQVIA Holdings,Health Care: Pharmacy and Other Services,"86,000","$14,410","$37,022","$1,091",7.6
287,ORLY,O'Reilly Automotive,Specialty Retailers: Other,"79,679","$14,410","$52,269","$2,173",15.1
288,LDOS,Leidos Holdings,Information Technology Services,"45,000","$14,396","$12,630",$685,4.8
289,AMP,Ameriprise Financial,Diversified Financials,"13,500","$14,347","$32,228","$2,559",17.8
290,OMC,Omnicom Group,"Advertising, Marketing","74,200","$14,289","$19,001","$1,317",9.2
291,TSCO,Tractor Supply,Specialty Retailers: Other,"36,500","$14,205","$25,830","$1,089",7.7
292,GLW,Corning,"Electronics, Electrical Equip.","57,500","$14,189","$29,890","$1,316",9.3
293,ECL,Ecolab,Chemicals,"47,000","$14,188","$47,121","$1,092",7.7
294,IEP,Icahn Enterprises,Diversified Financials,"20,041","$14,101","$18,283",-$183,-1.3
296,KDP,Keurig Dr Pepper,Beverages,"28,000","$14,057","$49,620","$1,436",10.2
297,L,Loews,Insurance: Property and Casualty (Stock),"12,050","$14,044","$13,395","$1,012",7.2
298,EQH,Equitable Holdings,"Insurance: Life, Health (Stock)","10,250","$14,017","$9,186","$1,785",12.7
299,SAH,Sonic Automotive,"Automotive Retailing, Services","10,300","$14,001","$1,930",$89,0.6
300,FOXA,Fox,Entertainment,"10,600","$13,974","$17,551","$1,205",8.6
302,ETR,Entergy,Utilities: Gas and Electric,"11,707","$13,764","$22,851","$1,103",8.0
303,FLR,Fluor,Engineering & Construction,"39,576","$13,744","$4,392",$145,1.1
304,VST,Vistra,Energy,"4,910","$13,728","$9,155","-$1,227",-8.9
305,STT,State Street,Commercial Banks,"42,226","$13,692","$26,074","$2,774",20.3
306,OTIS,Otis Worldwide,Industrial Machinery,"69,000","$13,685","$35,015","$1,253",9.2
308,CVNA,Carvana,"Automotive Retailing, Services","16,600","$13,604","$1,761","-$1,587",-11.7
309,RSG,Republic Services,Waste Management,"40,000","$13,511","$42,763","$1,488",11.0
310,ACM,AECOM,Engineering & Construction,"50,000","$13,496","$11,716",$311,2.3
311,UHS,Universal Health Services,Health Care: Medical Facilities,"82,500","$13,399","$8,982",$676,5.0
313,VMW,VMware,Computer Software,"38,300","$13,350","$53,496","$1,314",9.8
315,MGM,MGM Resorts International,"Hotels, Casinos, Resorts","66,000","$13,128","$16,564","$1,473",11.2
316,CASY,Casey's General Stores,Specialty Retailers: Other,"31,466","$12,953","$8,066",$340,2.6
317,CCK,Crown Holdings,"Packaging, Containers","26,000","$12,943","$9,934",$727,5.6
318,TXT,Textron,Aerospace & Defense,"34,000","$12,869","$14,385",$861,6.7
319,LKQ,LKQ,Wholesalers: Diversified,"45,000","$12,794","$15,171","$1,149",9.0
320,NSC,Norfolk Southern,Railroads,"19,300","$12,745","$48,257","$3,270",25.7
321,INTU,Intuit,Computer Software,"21,850","$12,726","$125,076","$2,066",16.2
322,APD,Air Products & Chemicals,Chemicals,"20,805","$12,699","$63,784","$2,256",17.8
323,BSX,Boston Scientific,Medical Products and Equipment,"45,000","$12,682","$71,910",$698,5.5
